 Round, Category, Value, Question, Answer
Jeopardy!,HISTORY,200,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory",Copernicus
Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,200,"No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves",Jim Thorpe
Jeopardy!,EVERYBODY TALKS ABOUT IT...,200,"The city of Yuma in this state has a record average of 4,055 hours of sunshine each year",Arizona
Jeopardy!,THE COMPANY LINE,200,"In 1963, live on The Art Linkletter Show, this company served its billionth burger",McDonald's
Jeopardy!,EPITAPHS & TRIBUTES,200,"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States",John Adams
Jeopardy!,3-LETTER WORDS,200,"In the title of an Aesop fable, this insect shared billing with a grasshopper",the ant
Jeopardy!,HISTORY,400,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the Appian Way
Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,400,"No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls",Michael Jordan
Jeopardy!,EVERYBODY TALKS ABOUT IT...,400,"In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state",Washington
Jeopardy!,THE COMPANY LINE,400,This housewares store was named for the packaging its merchandise came in & was first displayed on,Crate & Barrel
Jeopardy!,EPITAPHS & TRIBUTES,400,And away we go,Jackie Gleason
Jeopardy!,3-LETTER WORDS,400,Cows regurgitate this from the first stomach to the mouth & chew it again,the cud
Jeopardy!,HISTORY,600,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea,Ceylon (or Sri Lanka)
Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,600,"No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 unclean buddies",Jim Brown
Jeopardy!,EVERYBODY TALKS ABOUT IT...,600,"On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation",the UV index
Jeopardy!,THE COMPANY LINE,600,"This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a  month",Bulova
Jeopardy!,EPITAPHS & TRIBUTES,600,Outlaw: Murdered by a traitor and a coward whose name is not worthy to appear here,Jesse James
Jeopardy!,3-LETTER WORDS,600,"A small demon, or a mischievous child (who might be a little demon!)",imp
Jeopardy!,HISTORY,800,Karl led the first of these Marxist organizational efforts; the second one began in 1889,the International
Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,800,No. 10: FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; Gibraltar in Cleats,(Lou) Gehrig
Jeopardy!,EVERYBODY TALKS ABOUT IT...,800,"Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country",Morocco
Jeopardy!,THE COMPANY LINE,800,Edward Teller & this man partnered in 1898 to sell high fashions to women,(Paul) Bonwit
Jeopardy!,EPITAPHS & TRIBUTES,2000,"1939 Oscar winner: ...you are a credit to your craft, your race and to your family",Hattie McDaniel (for her role in Gone with the Wind)
Jeopardy!,3-LETTER WORDS,800,"In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs",era
Jeopardy!,HISTORY,1000,This Asian political party was founded in 1885 with Indian National as part of its name,the Congress Party
Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,1000,No. 5: Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer,(Wilt) Chamberlain
Jeopardy!,THE COMPANY LINE,1000,"The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain",K2
Jeopardy!,EPITAPHS & TRIBUTES,1000,Revolutionary War hero: His spirit is in Vermont now,Ethan Allen
Jeopardy!,3-LETTER WORDS,1000,"A single layer of paper, or to perform one's craft diligently",ply
Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,400,"<a href=http://www.j-archive.com/media/2004-12-31_DJ_23.mp3>Beyond ovoid abandonment, beyond ovoid betrayal... you won't believe the ending when he Hatches the Egg</a>",Horton
Double Jeopardy!,PRESIDENTIAL STATES OF BIRTH,400,California,Nixon
Double Jeopardy!,AIRLINE TRAVEL,400,"It can be a place to leave your puppy when you take a trip, or a carrier for him that fits under an airplane seat",a kennel
Double Jeopardy!,THAT OLD-TIME RELIGION,400,"He's considered the author of the Pentateuch, which is hard to believe, as Deuteronomy continues after his death",Moses
Double Jeopardy!,MUSICAL TRAINS,400,"Steven Tyler of this band lent his steamin' vocals to Train Kept A-Rollin', first popularized by the Yardbirds",Aerosmith
Double Jeopardy!,Xs & Os,400,Around 100 A.D. Tacitus wrote a book on how this art of persuasive speaking had declined since Cicero,oratory
Double Jeopardy!,PRESIDENTIAL STATES OF BIRTH,800,1 of the 2 born in Vermont,Coolidge (or Chester Arthur)
Double Jeopardy!,AIRLINE TRAVEL,800,"When it began on Pan Am & Qantas in the late '70s, it was basically a roped-off part of the economy cabin with free drinks",business class
Double Jeopardy!,THAT OLD-TIME RELIGION,800,"Ali, who married this man's daughter Fatima, is considered by Shia Muslims to be his true successor",Muhammed
Double Jeopardy!,MUSICAL TRAINS,800,"During the 1954-1955 Sun sessions, Elvis climbed aboard this train sixteen coaches long",the Mystery Train
Double Jeopardy!,Xs & Os,800,"The shorter glass seen <a href=http://www.j-archive.com/media/2004-12-31_DJ_12.jpg target=_blank>here</a>, or a quaint cocktail made with sugar & bitters",an old-fashioned
Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,1200,"<a href=http://www.j-archive.com/media/2004-12-31_DJ_26.mp3>Ripped from today's headlines, he was a turtle king gone mad; Mack was the one good turtle who'd bring him down</a>",Yertle
Double Jeopardy!,AIRLINE TRAVEL,2000,"In 2003 this airline agreed to buy KLM, creating Europe's largest airline",Air France
Double Jeopardy!,THAT OLD-TIME RELIGION,1200,Philadelphia got its start as a colony for this religious group of which William Penn was a member,the Quakers
